Tissue,SampleID,AcclimationTime,CatalaseActivity(U/mgProtein),RelativeCatalase_Activity
FB,1,0,0.207489243,0.733142007
FB,2,0,0.293759486,1.037969079
FB,3,0,0.328884444,1.162079526
FB,4,0,0.173933237,0.614575294
FB,5,0,0.348638044,1.23187685
FB,6,0,0.345377837,1.220357243
FB,7,3,0.322244049,1.138616371
FB,8,3,0.265931646,0.939642255
FB,9,3,0.307544265,1.086676185
FB,10,3,0.299894139,1.05964525
FB,11,3,0.327281805,1.156416764
FB,12,3,0.326715197,1.154414713
FB,13,6,0.340871169,1.20443339
FB,14,6,0.514668843,1.818529684
FB,15,6,0.332745128,1.175720858
FB,16,6,0.372533515,1.31630905
FB,17,6,0.375852079,1.328034857
FB,18,6,0.298909521,1.056166201
MG,19,0,0.313161382,1.062598269
MG,20,0,0.275634035,0.935262984
MG,21,0,0.250533591,0.850093836
MG,22,0,0.339522458,1.152044912
MG,23,3,0.35639047,1.209280322
MG,24,3,0.356011124,1.20799315
MG,25,3,0.250608436,0.850347795
MG,26,3,0.47293135,1.604719047
MG,27,3,0.250113378,0.848667997
MG,28,3,0.31871558,1.081444404
MG,29,6,0.193554307,0.656755536
MG,30,6,0.265025175,0.899265709
MG,31,6,0.306802699,1.041022413
MG,32,6,0.334487258,1.134959806
MG,33,6,0.311692007,1.057612484
MT,34,0,0.60066426,1.269569484
MT,35,0,0.57087753,1.20661198
MT,36,0,0.405227945,0.856493498
MT,37,0,0.398583439,0.842449609
MT,38,0,0.420734822,0.889268976
MT,39,0,0.442658211,0.935606452
MT,40,3,0.565296005,1.194814816
MT,41,3,0.365166243,0.771818719
MT,42,3,0.534740887,1.130233239
MT,43,3,0.465918842,0.984770335
MT,44,6,0.629100167,1.329671879
MT,45,6,0.382890235,0.80928031
MT,46,6,0.408160226,0.862691195
MT,47,6,0.363220913,0.767707051
MT,48,6,0.368900606,0.779711702
MT,49,6,0.487705215,1.030818213
