Tissue,AcclimationTime,SampleID,ef1,cat,DeltaCq,DeltaDeltaCq,RelativeCatalase_mRNA
MT,0,WK0-MT4,26.58666667,25.385,-1.201666667,0.580666667,0.668654722
MT,0,WK0-MT5,31.02,28.565,-2.455,-0.672666667,1.594016614
MT,0,WK0-MT6,28.33,26.23,-2.1,-0.317666667,1.246313202
MT,0,WK0-MT8,22.68,21.675,-1.005,0.777333333,0.583444231
MT,0,WK0-MT9,21.505,19.355,-2.15,-0.367666667,1.290264342
MT,3,WK3-MT1,29.26,28.42333333,-0.836666667,0.945666667,0.51918958
MT,3,WK3-MT2,24.32666667,23.95,-0.376666667,1.405666667,0.37744369
MT,3,WK3-MT3,25.91666667,25.515,-0.401666667,1.380666667,0.38404129
MT,3,WK3-MT4,31.99,32.38666667,0.396666667,2.179,0.220828763
MT,3,WK3-MT5,32.87333333,33.845,0.971666667,2.754,0.148239312
MT,3,WK3-MT6,24.39333333,23.80666667,-0.586666667,1.195666667,0.436584656
MT,6,WK6-MT1,24.72333333,25.225,0.501666667,2.284,0.205327675
MT,6,WK6-MT2,22.625,22.065,-0.56,1.222333333,0.428588982
MT,6,WK6-MT3,23.895,24.22,0.325,2.107333333,0.232075586
MT,6,WK6-MT4,24.77,23.39333333,-1.376666667,0.405666667,0.75488738
MT,6,WK6-MT5,26.29333333,25.07333333,-1.22,0.562333333,0.677206003
MT,6,WK6-MT6,26.11666667,23.82,-2.296666667,-0.514333333,1.428333957
MT,6,WK6-MT7,24.06,23.925,-0.135,1.647333333,0.319229674
MT,6,WK6-MT8,21.295,21.01666667,-0.278333333,1.504,0.35257449
MT,6,WK6-MT9,22.26,21.07333333,-1.186666667,0.595666667,0.661738596
MG,0,WK0-MG2,23.34,21.41,-1.93,-1.215,2.321407829
MG,0,WK0-MG3,24.285,22.875,-1.41,-0.695,1.618884433
MG,0,WK0-MG4,23.95,24.23,0.28,0.995,0.501735874
MG,0,WK0-MG5,22.525,21.805,-0.72,-0.005,1.003471749
MG,0,WK0-MG6,22.16,22.645,0.485,1.2,0.435275282
MG,0,WK0-MG7,22.36,21.365,-0.995,-0.28,1.214194884
MG,3,WK3-MG1,24.33666667,22.545,-1.791666667,-1.076666667,2.109157259
MG,3,WK3-MG2,25.65,22.98,-2.67,-1.955,3.877159268
MG,3,WK3-MG3,26.18666667,24.41,-1.776666667,-1.061666667,2.087341521
MG,3,WK3-MG4,25.46,23.585,-1.875,-1.16,2.234574276
MG,3,WK3-MG5,22.96333333,21.985,-0.978333333,-0.263333333,1.200248667
MG,3,WK3-MG6,23.80666667,23.55,-0.256666667,0.458333333,0.727826591
MG,3,WK3-MG7,23.56,22.25333333,-1.306666667,-0.591666667,1.506986681
MG,3,WK3-MG8,24.16333333,23.29,-0.873333333,-0.158333333,1.115997143
MG,3,WK3-MG9,24.30666667,22.63666667,-1.67,-0.955,1.938579634
MG,6,WK6-MG2,20.54,19.875,-0.665,0.05,0.965936329
MG,6,WK6-MG3,21.29,18.72666667,-2.563333333,-1.848333333,3.600839594
MG,6,WK6-MG4,20.32,19.795,-0.525,0.19,0.876605721
MG,6,WK6-MG5,23.255,22.61666667,-0.638333333,0.076666667,0.948246031
MG,6,WK6-MG7,20.36,20.14,-0.22,0.495,0.709561678
MG,6,WK6-MG8,22.45666667,21.35,-1.106666667,-0.391666667,1.311908104
MG,6,WK6-MG9,18.98333333,17.85333333,-1.13,-0.415,1.333298677
FB,0,WK0-FB1,26.73,24.93,-1.8,-0.999791667,1.99971121
FB,0,WK0-FB2,25.13,24.35333333,-0.776666667,0.023541667,0.983814575
FB,0,WK0-FB4,22.55333333,22.08,-0.473333333,0.326875,0.797261551
FB,0,WK0-FB5,24.64333333,23.83333333,-0.81,-0.009791667,1.00681015
FB,0,WK0-FB6,25.26333333,25.2,-0.063333333,0.736875,0.600037678
FB,0,WK0-FB7,23.965,23.32,-0.645,0.155208333,0.898002687
FB,0,WK0-FB8,21.84333333,21.21333333,-0.63,0.170208333,0.888714337
FB,0,WK0-FB9,28.06333333,26.86,-1.203333333,-0.403125,1.322369175
FB,3,WK3-FB1,27.86,26.105,-1.755,-0.954791667,1.938299712
FB,3,WK3-FB5,27.26666667,25.255,-2.011666667,-1.211458333,2.315716003
FB,3,WK3-FB7,29.31,24.45,-3.168333333,-2.368125,5.162697256
FB,3,WK3-FB9,29.61333333,25.92,-3.693333333,-2.893125,7.428778445
FB,6,WK6-FB2,25.89,25.135,-0.755,0.045208333,0.969149856
FB,6,WK6-FB3,25.625,24.055,-1.57,-0.769791667,1.705023551
FB,6,WK6-FB4,27.37,25.27,-2.1,-1.299791667,2.461933284
FB,6,WK6-FB8,22.555,22.18,-0.375,0.425208333,0.74473118
