Tissue,SampleID,AssayWeek,Treatment,RNAi_Temp,RNAi_Days,CatalaseActivity(U/mgProtein),RelativeCatalase_Activity
FB,FB17,4-Jul,RNAi,RT,3,0.212499962,0.677040446
FB,FB18,4-Jul,RNAi,RT,3,0.041723604,0.132934459
FB,FB19,4-Jul,RNAi,RT,3,0.165305593,0.526675728
FB,FB20,4-Jul,RNAi,RT,3,0.062518711,0.199189192
FB,FB21,4-Jul,RNAi,RT,3,0.050076363,0.159546961
FB,FB22,4-Jul,RNAi,RT,3,0.130321019,0.415212313
FB,FB29,4-Jul,Control,RT,3,0.418067645,1.331994143
FB,FB30,4-Jul,Control,RT,3,0.291852572,0.929863675
FB,FB31,4-Jul,Control,RT,3,0.168772928,0.537722913
FB,FB32,4-Jul,Control,RT,3,0.252588096,0.804764179
FB,FB33,4-Jul,Control,RT,3,0.302422006,0.963538665
FB,FB34,4-Jul,Control,RT,3,0.449492623,1.432116425
MG,MG17,4-Jul,RNAi,RT,3,0.20287005,0.514445553
MG,MG18,4-Jul,RNAi,RT,3,0.18985435,0.481439849
MG,MG19,4-Jul,RNAi,RT,3,0.119024557,0.301826978
MG,MG20,4-Jul,RNAi,RT,3,0.207747331,0.526813546
MG,MG21,4-Jul,RNAi,RT,3,0.160582115,0.407210205
MG,MG29,4-Jul,Control,RT,3,0.343756194,0.871709971
MG,MG30,4-Jul,Control,RT,3,0.424356799,1.076100036
MG,MG31,4-Jul,Control,RT,3,0.546314763,1.385365658
MG,MG32,4-Jul,Control,RT,3,0.433031138,1.098096751
MG,MG33,4-Jul,Control,RT,3,0.224276005,0.568727584
MT,MT17,4-Jul,RNAi,RT,3,0.452684498,0.910821454
MT,MT18,4-Jul,RNAi,RT,3,0.301439388,0.606509529
MT,MT19,4-Jul,RNAi,RT,3,0.40681329,0.818526532
MT,MT20,4-Jul,RNAi,RT,3,0.399483918,0.803779507
MT,MT21,4-Jul,RNAi,RT,3,0.215190044,0.432971991
MT,MT22,4-Jul,RNAi,RT,3,0.423800832,0.852706226
MT,MT29,4-Jul,Control,RT,3,0.842892986,1.69593838
MT,MT30,4-Jul,Control,RT,3,0.24757738,0.49813676
MT,MT31,4-Jul,Control,RT,3,0.663216245,1.334420743
MT,MT32,4-Jul,Control,RT,3,0.393616446,0.791973891
MT,MT33,4-Jul,Control,RT,3,0.438346192,0.88197214
MT,MT34,4-Jul,Control,RT,3,0.396391829,0.797558086
FB,FB35,18-Jul,RNAi,RT,3,0.134115994,0.810158347
FB,FB36,18-Jul,RNAi,RT,3,0.122501106,0.739995955
FB,FB37,18-Jul,RNAi,RT,3,0.103963416,0.628014802
FB,FB38,18-Jul,RNAi,RT,3,0.116861969,0.705931463
FB,FB39,18-Jul,RNAi,RT,3,0.118061074,0.713174932
FB,FB40,18-Jul,RNAi,RT,3,0.039711882,0.239888708
FB,FB47,18-Jul,Control,RT,3,0.076058602,0.459449388
FB,FB48,18-Jul,Control,RT,3,0.155258306,0.937873317
FB,FB49,18-Jul,Control,RT,3,0.206758762,1.24897361
FB,FB50,18-Jul,Control,RT,3,0.17494848,1.056816322
FB,FB51,18-Jul,Control,RT,3,0.172478146,1.041893701
FB,FB52,18-Jul,Control,RT,3,0.207755339,1.254993661
MG,MG35,18-Jul,RNAi,RT,3,0.194465942,0.602233008
MG,MG36,18-Jul,RNAi,RT,3,0.349005893,1.080820978
MG,MG37,18-Jul,RNAi,RT,3,0.244479684,0.757118363
MG,MG38,18-Jul,RNAi,RT,3,0.270460461,0.837577089
MG,MG39,18-Jul,RNAi,RT,3,0.234836789,0.727255706
MG,MG40,18-Jul,RNAi,RT,3,0.077877761,0.241176207
MG,MG47,18-Jul,Control,RT,3,0.242566322,0.751192959
MG,MG48,18-Jul,Control,RT,3,0.373445852,1.15650801
MG,MG49,18-Jul,Control,RT,3,0.527196676,1.632652163
MG,MG50,18-Jul,Control,RT,3,0.192212171,0.595253407
MG,MG51,18-Jul,Control,RT,3,0.266563058,0.825507391
MG,MG52,18-Jul,Control,RT,3,0.33546477,1.03888607
MT,MT35,18-Jul,RNAi,RT,3,0.43070752,0.994689358
MT,MT36,18-Jul,RNAi,RT,3,0.47361359,1.093777972
MT,MT37,18-Jul,RNAi,RT,3,0.263415869,0.60834081
MT,MT38,18-Jul,RNAi,RT,3,0.822318999,1.899089103
MT,MT39,18-Jul,RNAi,RT,3,0.41901646,0.96768966
MT,MT40,18-Jul,RNAi,RT,3,0.334863866,0.77334504
MT,MT47,18-Jul,Control,RT,3,0.469384709,1.084011664
MT,MT48,18-Jul,Control,RT,3,0.355174502,0.820251056
MT,MT49,18-Jul,Control,RT,3,0.340001289,0.785209564
MT,MT50,18-Jul,Control,RT,3,0.446986476,1.032284486
MT,MT51,18-Jul,Control,RT,3,0.404375875,0.933878238
MT,MT52,18-Jul,Control,RT,3,0.58211954,1.344364993
