Tissue,SampleID,AssayWeek,RNAi_Condition,Treatment,RNAi_Temp,RNAi_Days,CatalaseActivity(U/mgProtein),RelativeCatalase_Activity
FB,FB6-11,11-Dec,LowTemp-3d,Control,15,3,0.219813725,1.240404946
FB,FB6-12,11-Dec,LowTemp-3d,Control,15,3,0.169594448,0.95701846
FB,FB6-13,11-Dec,LowTemp-3d,Control,15,3,0.199862037,1.127817928
FB,FB6-14,11-Dec,LowTemp-3d,Control,15,3,0.08422539,0.475282383
FB,FB6-15,11-Dec,LowTemp-3d,Control,15,3,0.212560705,1.199476283
FB,FB6-01,11-Dec,LowTemp-3d,RNAi,15,3,0.117356381,0.662239974
FB,FB6-02,11-Dec,LowTemp-3d,RNAi,15,3,0.181269592,1.022901088
FB,FB6-03,11-Dec,LowTemp-3d,RNAi,15,3,0.176075439,0.993590579
FB,FB6-04,11-Dec,LowTemp-3d,RNAi,15,3,0.13229374,0.746531225
FB,FB6-05,11-Dec,LowTemp-3d,RNAi,15,3,0.2522594,1.423495315
FB,FB7-06,26-Jan,LowTemp-7d,Control,15,7,0.152636969,0.700175576
FB,FB7-09,26-Jan,LowTemp-7d,Control,15,7,0.462985089,2.123802994
FB,FB7-10,26-Jan,LowTemp-7d,Control,15,7,0.188204295,0.863329846
FB,FB8-07,6-Feb,LowTemp-7d,Control,15,7,0.125288772,0.574724056
FB,FB8-08,6-Feb,LowTemp-7d,Control,15,7,0.060286327,0.276545151
FB,FB8-09,6-Feb,LowTemp-7d,Control,15,7,0.210194401,0.964202756
FB,FB8-10,6-Feb,LowTemp-7d,Control,15,7,0.280906389,1.288572448
FB,FB8-11,6-Feb,LowTemp-7d,Control,15,7,0.228481145,1.048087622
FB,FB8-12,6-Feb,LowTemp-7d,Control,15,7,0.252999816,1.16055955
FB,FB7-01,26-Jan,LowTemp-7d,RNAi,15,7,0.22199717,1.018344361
FB,FB7-02,26-Jan,LowTemp-7d,RNAi,15,7,0.156486816,0.717835576
FB,FB7-03,26-Jan,LowTemp-7d,RNAi,15,7,0.178616753,0.819349919
FB,FB7-04,26-Jan,LowTemp-7d,RNAi,15,7,0.124150168,0.569501058
FB,FB7-05,26-Jan,LowTemp-7d,RNAi,15,7,0.126082977,0.578367233
FB,FB8-01,6-Feb,LowTemp-7d,RNAi,15,7,0.156893207,0.719699771
FB,FB8-02,6-Feb,LowTemp-7d,RNAi,15,7,0.207404076,0.95140299
FB,FB8-04,6-Feb,LowTemp-7d,RNAi,15,7,0.285912421,1.311536096
FB,FB8-05,6-Feb,LowTemp-7d,RNAi,15,7,0.075182914,0.344878707
FB,FB8-06,6-Feb,LowTemp-7d,RNAi,15,7,0.193903054,0.889471164
FB,FB6-16,11-Dec,HighTemp-3d,Control,22,3,0.210159442,0.956587912
FB,FB6-17,11-Dec,HighTemp-3d,Control,22,3,0.292551592,1.331614293
FB,FB6-18,11-Dec,HighTemp-3d,Control,22,3,0.185059206,0.842338551
FB,FB6-19,11-Dec,HighTemp-3d,Control,22,3,0.197447732,0.898727709
FB,FB6-20,11-Dec,HighTemp-3d,Control,22,3,0.213266752,0.970731535
FB,FB6-06,11-Dec,HighTemp-3d,RNAi,22,3,0.195952148,0.891920223
FB,FB6-07,11-Dec,HighTemp-3d,RNAi,22,3,0.163663553,0.744951431
