Tissue,SampleID,AssayWeek,Treatment,RNAi_Temp,RNAi_Days,ef1,cat,DeltaCq,DeltaDeltaCq,RelativeCatalase_mRNA
FB,FB20,04-Jul,RNAi,RT,3,21.87503689,22.45419376,0.579156865,0.012068972,0.99166932
FB,FB22,04-Jul,RNAi,RT,3,19.11278039,23.08254415,3.969763761,3.402675868,0.094556742
FB,FB30,04-Jul,Control,RT,3,22.68370238,22.13664439,-0.547057987,-1.114145879,2.16466816
FB,FB31,04-Jul,Control,RT,3,22.5049709,23.16567451,0.660703607,0.093615714,0.937171045
FB,FB34,04-Jul,Control,RT,3,21.19827573,21.70938331,0.51110758,-0.055980313,1.039565249
MG,MG17,04-Jul,RNAi,RT,3,25.12556952,24.86499481,-0.260574714,0.507986828,0.70320302
MG,MG18,04-Jul,RNAi,RT,3,22.54710721,23.19410055,0.64699334,1.415554882,0.374865541
MG,MG19,04-Jul,RNAi,RT,3,26.31318396,27.06067926,0.747495305,1.516056846,0.349640244
MG,MG20,04-Jul,RNAi,RT,3,20.07828946,19.91200089,-0.166288571,0.60227297,0.65871533
MG,MG21,04-Jul,RNAi,RT,3,20.19938686,20.56862442,0.369237569,1.13779911,0.454452335
MG,MG22,04-Jul,RNAi,RT,3,22.7983038,26.49327538,3.694971576,4.463533117,0.045325504
MG,MG29,04-Jul,Control,RT,3,24.5745259,24.44314762,-0.131378272,0.637183269,0.642967059
MG,MG30,04-Jul,Control,RT,3,23.34801994,23.35598002,0.007960084,0.776521625,0.583772589
MG,MG31,04-Jul,Control,RT,3,24.57342566,23.18934066,-1.384085,-0.615523459,1.532113799
MG,MG32,04-Jul,Control,RT,3,25.00076605,23.19400102,-1.806765039,-1.038203497,2.053668748
MG,MG33,04-Jul,Control,RT,3,21.02299566,20.60094683,-0.422048831,0.346512711,0.786482892
MG,MG34,04-Jul,Control,RT,3,22.40794339,21.23791966,-1.170023726,-0.401462184,1.320845922
MT,MT17,04-Jul,RNAi,RT,3,23.4199129,25.34134855,1.921435649,1.856236524,0.276195836
MT,MT18,04-Jul,RNAi,RT,3,21.72202147,22.97771612,1.255694655,1.19049553,0.43815234
