Tissue,SampleID,AssayGroup,RNAi_Condition,Treatment,RNAi_Temp,RNAi_Days,ef1,cat,DeltaCq,DeltaDeltaCq,RelativeCatalase_mRNA
FB,FB6-12,6,LowTemp-3d,Control,15,3,27.42333333,27.27,-0.15,0.56,0.678302164
FB,FB6-13,6,LowTemp-3d,Control,15,3,25.25333333,25.78,0.53,1.24,0.423372656
FB,FB6-14,6,LowTemp-3d,Control,15,3,32.915,32.02,-0.9,-0.19,1.140763716
FB,FB11-20,11,LowTemp-3d,Control,15,3,25.01666667,24.77,-0.25,0.46,0.726986259
FB,FB11-21,11,LowTemp-3d,Control,15,3,25.85,24.30,-1.546666667,-0.836666667,1.785919022
FB,FB11-22,11,LowTemp-3d,Control,15,3,31.22,30.51,-0.71,2.88658E-15,1
FB,FB11-23,11,LowTemp-3d,Control,15,3,27.19,26.14,-1.053333333,-0.343333333,1.268684494
FB,FB11-24,11,LowTemp-3d,Control,15,3,31.97,30.67,-1.3,-0.59,1.505246747
FB,FB11-25,11,LowTemp-3d,Control,15,3,22.92666667,21.84,-1.09,-0.38,1.301341855
FB,FB11-26,11,LowTemp-3d,Control,15,3,32.6,33.06,0.46,1.17,0.444421341
FB,FB11-27,11,LowTemp-3d,Control,15,3,28.59333333,26.79,-1.8,-1.09,2.128740365
FB,FB6-01,6,LowTemp-3d,RNAi,15,3,30.255,29.58,-0.671666667,0.038333333,0.973779252
FB,FB6-03,6,LowTemp-3d,RNAi,15,3,31.03,30.18,-0.846666667,-0.136666667,1.099362113
FB,FB6-04,6,LowTemp-3d,RNAi,15,3,30.695,31.98,1.281666667,1.991666667,0.251448235
FB,FB6-05,6,LowTemp-3d,RNAi,15,3,27.75,26.40,-1.346666667,-0.636666667,1.554732811
FB,FB11-01,11,LowTemp-3d,RNAi,15,3,27.615,25.90,-1.718333333,-1.008333333,2.011585882
FB,FB11-02,11,LowTemp-3d,RNAi,15,3,29.355,27.55,-1.81,-1.1,2.143546925
FB,FB11-03,11,LowTemp-3d,RNAi,15,3,25.51333333,24.42,-1.096666667,-0.386666667,1.307369247
FB,FB11-04,11,LowTemp-3d,RNAi,15,3,32.61666667,30.82,-1.801666667,-1.091666667,2.131201003
FB,FB11-05,11,LowTemp-3d,RNAi,15,3,24.995,23.40,-1.6,-0.89,1.853176124
FB,FB11-06,11,LowTemp-3d,RNAi,15,3,30.8,28.55,-2.25,-1.54,2.907945035
FB,FB11-07,11,LowTemp-3d,RNAi,15,3,27.02,25.88,-1.145,-0.435,1.351910833
FB,FB11-08,11,LowTemp-3d,RNAi,15,3,30.835,31.26,0.425,1.135,0.455334917
FB,FB7-06,7,LowTemp-7d,Control,15,7,28,27.09,-0.913333333,0.455,0.729510172
FB,FB7-08,7,LowTemp-7d,Control,15,7,29.74,28.66,-1.085,0.283333333,0.821690315
FB,FB7-10,7,LowTemp-7d,Control,15,7,32.36333333,31.35,-1.01,0.358333333,0.780065226
FB,FB8-07,8,LowTemp-7d,Control,15,7,31.28,29.69,-1.59,-0.221666667,1.166079917
FB,FB8-09,8,LowTemp-7d,Control,15,7,29.56,27.32,-2.243333333,-0.875,1.834008086
FB,FB7-01,7,LowTemp-7d,RNAi,15,7,26.07,27.49,1.415,2.783333333,0.145255698
FB,FB7-02,7,LowTemp-7d,RNAi,15,7,31.455,33.49,2.031666667,3.4,0.094732285
FB,FB7-05,7,LowTemp-7d,RNAi,15,7,31.07,32.02,0.953333333,2.321666667,0.200036245
FB,FB8-01,8,LowTemp-7d,RNAi,15,7,32.12333333,32.06,-0.063333333,1.305,0.404721108
FB,FB8-02,8,LowTemp-7d,RNAi,15,7,31.595,30.33,-1.265,0.103333333,0.930879716
FB,FB8-04,8,LowTemp-7d,RNAi,15,7,31.685,30.45,-1.235,0.133333333,0.911722489
FB,FB6-16,6,HighTemp-3d,Control,22,3,31.005,31.73,0.725,0.8525,0.5538242
FB,FB6-17,6,HighTemp-3d,Control,22,3,26.00666667,26.12,0.11,0.2375,0.848213882
FB,FB6-18,6,HighTemp-3d,Control,22,3,31.32333333,30.73,-0.593333333,-0.465833333,1.381114886
FB,FB6-19,6,HighTemp-3d,Control,22,3,26.885,25.60,-1.288333333,-1.160833333,2.23586539
FB,FB11-28,11,HighTemp-3d,Control,22,3,24.42,25.92,1.503333333,1.630833333,0.322901638
FB,FB11-29,11,HighTemp-3d,Control,22,3,26.90333333,25.77,-1.13,-1.0025,2.00346874
FB,FB11-30,11,HighTemp-3d,Control,22,3,29.75,28.77,-0.98,-0.8525,1.805627129
FB,FB11-31,11,HighTemp-3d,Control,22,3,24.93666667,23.57,-1.363333333,-1.235833333,2.355173483
FB,FB11-32,11,HighTemp-3d,Control,22,3,27.15333333,28.07,0.916666667,1.044166667,0.484924931
FB,FB11-33,11,HighTemp-3d,Control,22,3,18.81666667,20.89,2.073333333,2.200833333,0.217511965
FB,FB11-34,11,HighTemp-3d,Control,22,3,28.01,27.31,-0.696666667,-0.569166667,1.483666324
FB,FB11-35,11,HighTemp-3d,Control,22,3,27.67666667,26.87,-0.806666667,-0.679166667,1.60121459
FB,FB6-07,6,HighTemp-3d,RNAi,22,3,33.28666667,32.57,-0.716666667,-0.589166667,1.504377534
FB,FB6-08,6,HighTemp-3d,RNAi,22,3,31.555,30.49,-1.065,-0.9375,1.915206561
FB,FB6-10,6,HighTemp-3d,RNAi,22,3,31.805,32.65,0.845,0.9725,0.509622189
FB,FB11-11,11,HighTemp-3d,RNAi,22,3,29.07666667,28.23,-0.85,-0.7225,1.650038858
FB,FB11-12,11,HighTemp-3d,RNAi,22,3,26.22,26.79,0.566666667,0.694166667,0.618066225
FB,FB11-14,11,HighTemp-3d,RNAi,22,3,27.47,28.80,1.325,1.4525,0.365387706
FB,FB11-15,11,HighTemp-3d,RNAi,22,3,27.46,28.65,1.186666667,1.314166667,0.402157724
FB,FB11-16,11,HighTemp-3d,RNAi,22,3,27.275,28.11,0.83,0.9575,0.514948478
FB,FB11-18,11,HighTemp-3d,RNAi,22,3,30.68333333,32.34,1.656666667,1.784166667,0.290343639
FB,FB11-10,11,HighTemp-3d,RNAi,22,3,26.32,27.15,0.826666667,0.954166667,0.516139638
FB,FB7-16,7,HighTemp-7d,Control,22,7,30.395,29.21,-1.185,-0.850416667,1.803021583
FB,FB7-17,7,HighTemp-7d,Control,22,7,30.70666667,29.54,-1.17,-0.835416667,1.784372311
FB,FB7-18,7,HighTemp-7d,Control,22,7,30.70333333,31.28,0.576666667,0.91125,0.531724188
FB,FB7-19,7,HighTemp-7d,Control,22,7,31.51,31.95,0.44,0.774583333,0.584557427
FB,FB7-11,7,HighTemp-7d,RNAi,22,7,29.325,29.81,0.485,0.819583333,0.566605561
FB,FB7-12,7,HighTemp-7d,RNAi,22,7,26.39,28.37,1.98,2.314583333,0.201020796
FB,FB7-14,7,HighTemp-7d,RNAi,22,7,26.64666667,29.30,2.656666667,2.99125,0.125760433
FB,FB8-13,8,HighTemp-7d,RNAi,22,7,28.835,29.56,0.725,1.059583333,0.479770603
FB,FB8-17,8,HighTemp-7d,RNAi,22,7,25.59333333,26.75,1.156666667,1.49125,0.355704221
FB,FB8-18,8,HighTemp-7d,RNAi,22,7,30.615,31.46,0.845,1.179583333,0.441478984
MG,MG6-11,6,LowTemp-3d,Control,15,3,22.56,23.06,0.503333333,0.035666667,0.975580843
MG,MG6-12,6,LowTemp-3d,Control,15,3,26.19333333,27.10,0.903333333,0.435666667,0.739352022
MG,MG6-13,6,LowTemp-3d,Control,15,3,24.01,25.12,1.105,0.637333333,0.642900183
MG,MG6-14,6,LowTemp-3d,Control,15,3,29.22,30.90,1.675,1.207333333,0.433068357
MG,MG6-15,6,LowTemp-3d,Control,15,3,23.08666667,23.08,-0.01,-0.477666667,1.39248971
MG,MG11-20,11,LowTemp-3d,Control,15,3,26.70333333,28.30,1.593333333,1.125666667,0.458290198
MG,MG11-21,11,LowTemp-3d,Control,15,3,24.63666667,24.26,-0.38,-0.847666667,1.799588018
MG,MG11-22,11,LowTemp-3d,Control,15,3,24.33,24.37,0.04,-0.427666667,1.345056399
MG,MG11-23,11,LowTemp-3d,Control,15,3,25.785,26.08,0.298333333,-0.169333333,1.124538717
MG,MG11-27,11,LowTemp-3d,Control,15,3,26.365,25.31,-1.051666667,-1.519333333,2.866585546
MG,MG6-01,6,LowTemp-3d,RNAi,15,3,31.20333333,32.09,0.881666667,0.414,0.750539549
MG,MG6-02,6,LowTemp-3d,RNAi,15,3,27.67,28.17,0.503333333,0.035666667,0.975580843
MG,MG6-03,6,LowTemp-3d,RNAi,15,3,30.275,29.73,-0.55,-1.017666667,2.024641769
MG,MG6-04,6,LowTemp-3d,RNAi,15,3,30.58,30.90,0.32,-0.147666667,1.107776368
MG,MG6-05,6,LowTemp-3d,RNAi,15,3,27.805,28.47,0.661666667,0.194,0.87417862
MG,MG11-02,11,LowTemp-3d,RNAi,15,3,23.9,24.39,0.49,0.022333333,0.984638917
MG,MG11-03,11,LowTemp-3d,RNAi,15,3,24.88333333,25.67,0.786666667,0.319,0.801625329
MG,MG11-06,11,LowTemp-3d,RNAi,15,3,24.34333333,25.01,0.67,0.202333333,0.869143722
MG,MG11-09,11,LowTemp-3d,RNAi,15,3,26.08666667,26.62,0.536666667,0.069,0.953298545
MG,MG7-06,7,LowTemp-7d,Control,15,7,29.87,29.91,0.04,-0.222222222,1.16652904
MG,MG7-08,7,LowTemp-7d,Control,15,7,29.455,29.76,0.3,0.037777778,0.974154309
MG,MG8-07,8,LowTemp-7d,Control,15,7,25.76333333,25.40,-0.363333333,-0.625555556,1.542804817
MG,MG8-08,8,LowTemp-7d,Control,15,7,31.87,32.30,0.425,0.162777778,0.89330344
MG,MG8-11,8,LowTemp-7d,Control,15,7,26.28666667,26.89,0.606666667,0.344444444,0.787611213
MG,MG8-12,8,LowTemp-7d,Control,15,7,30.365,30.93,0.565,0.302777778,0.810689983
MG,MG7-01,7,LowTemp-7d,RNAi,15,7,28.9,29.34,0.44,0.177777778,0.884063695
MG,MG7-02,7,LowTemp-7d,RNAi,15,7,29.30666667,31.46,2.156666667,1.894444444,0.268977156
MG,MG7-03,7,LowTemp-7d,RNAi,15,7,31.10666667,30.05,-1.056666667,-1.318888889,2.494739001
MG,MG7-04,7,LowTemp-7d,RNAi,15,7,32.91,34.30,1.39,1.127777778,0.457620067
MG,MG8-01,8,LowTemp-7d,RNAi,15,7,22.87,24.30,1.426666667,1.164444444,0.446136025
MG,MG8-02,8,LowTemp-7d,RNAi,15,7,26.17333333,27.44,1.266666667,1.004444444,0.498462043
MG,MG8-04,8,LowTemp-7d,RNAi,15,7,28.87666667,29.25,0.373333333,0.111111111,0.925874712
MG,MG8-05,8,LowTemp-7d,RNAi,15,7,26.02333333,26.91,0.89,0.627777778,0.647172505
MG,MG6-17,6,HighTemp-3d,Control,22,3,31.135,31.11,-0.025,0.260555556,0.834766404
MG,MG6-19,6,HighTemp-3d,Control,22,3,25.10666667,24.15,-0.96,-0.674444444,1.595982071
MG,MG6-20,6,HighTemp-3d,Control,22,3,26.80666667,26.81,0.00,0.285555556,0.820425617
MG,MG11-28,11,HighTemp-3d,Control,22,3,25.82,25.51,-0.31,-0.024444444,1.017087955
MG,MG11-34,11,HighTemp-3d,Control,22,3,27.86333333,28.22,0.36,0.645555556,0.639246581
MG,MG11-36,11,HighTemp-3d,Control,22,3,30.84333333,30.07,-0.778333333,-0.492777778,1.407151611
MG,MG6-07,6,HighTemp-3d,RNAi,22,3,29.54,30.55,1.01,1.295555556,0.407379262
MG,MG6-08,6,HighTemp-3d,RNAi,22,3,32.045,32.27,0.225,0.510555556,0.701952077
MG,MG6-09,6,HighTemp-3d,RNAi,22,3,30.19,31.99,1.795,2.080555556,0.236423352
MG,MG11-10,11,HighTemp-3d,RNAi,22,3,27.38666667,28.29,0.903333333,1.188888889,0.438640556
MG,MG11-11,11,HighTemp-3d,RNAi,22,3,26.825,26.27,-0.555,-0.269444444,1.205343582
MG,MG11-12,11,HighTemp-3d,RNAi,22,3,26.5,26.66,0.163333333,0.448888889,0.732606858
MG,MG11-13,11,HighTemp-3d,RNAi,22,3,28.69666667,31.45,2.748333333,3.033888889,0.122097969
MG,MG11-15,11,HighTemp-3d,RNAi,22,3,24.275,24.98,0.7,0.985555556,0.505031207
MG,MG11-16,11,HighTemp-3d,RNAi,22,3,32.16,33.00,0.84,1.125555556,0.458325495
MG,MG11-17,11,HighTemp-3d,RNAi,22,3,27.24333333,27.99,0.746666667,1.032222222,0.488956416
MG,MG11-18,11,HighTemp-3d,RNAi,22,3,29.32666667,31.74,2.408333333,2.693888889,0.15454631
MG,MG7-16,7,HighTemp-7d,Control,22,7,31.53,30.29,-1.24,-0.80625,1.748660234
MG,MG7-17,7,HighTemp-7d,Control,22,7,26.01333333,25.76,-0.253333333,0.180416667,0.882448098
MG,MG7-19,7,HighTemp-7d,Control,22,7,25.705,26.12,0.41,0.84375,0.557193371
MG,MG7-20,7,HighTemp-7d,Control,22,7,28.04333333,27.83,-0.21,0.22375,0.856336664
MG,MG8-20,8,HighTemp-7d,Control,22,7,31.54333333,30.42,-1.123333333,-0.689583333,1.612817651
MG,MG8-22,8,HighTemp-7d,Control,22,7,30.43,30.25,-0.176666667,0.257083333,0.836777907
MG,MG8-23,8,HighTemp-7d,Control,22,7,28.33333333,27.96,-0.376666667,0.057083333,0.961205405
MG,MG8-24,8,HighTemp-7d,Control,22,7,34.645,34.15,-0.5,-0.06625,1.046991696
MG,MG7-11,7,HighTemp-7d,RNAi,22,7,30.79,30.65,-0.14,0.29375,0.815778845
MG,MG7-12,7,HighTemp-7d,RNAi,22,7,30.41,32.95,2.54,2.97375,0.127295207
MG,MG7-14,7,HighTemp-7d,RNAi,22,7,29.01,31.77,2.76,3.19375,0.109291265
MG,MG8-13,8,HighTemp-7d,RNAi,22,7,26.46666667,29.76,3.293333333,3.727083333,0.075515503
